layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2.25,lqi,0,5,9.7154,0,0,190,0.252563,0.247631,4.72691,0.0801129,1.4622,1.66439,1.28159
around,2.25,lqi,0,6,11.4518,0,0,190,0.251467,0.248179,4.72034,0.0944915,2.02871,2.33576,1.77288
around,2.25,lqi,0,7,11.1403,2,2,188,0.248179,0.248727,5.24026,0.111474,1.71352,1.99277,1.58534
around,2.25,lqi,0,8,11.0187,2,2,188,0.244891,0.249823,5.25232,0.119621,1.77815,1.8433,1.53055
around,2.25,lqi,0,9,10.2783,2,2,188,0.248179,0.249275,5.24464,0.10146,1.45999,1.68704,1.28766
around,2.25,lqi,0,10,11.235,6,13,177,0.249275,0.251467,6.26312,0.137392,1.35466,1.61121,1.36792
around,2.25,lqi,0,11,10.4756,0,0,190,0.250919,0.252015,4.78884,0.088039,1.76523,1.84164,1.48893
around,2.25,lqi,0,12,11.4904,6,6,184,0.251467,0.254207,6.31901,0.155459,1.43468,1.70225,1.37333
around,2.25,lqi,0,13,11.1415,4,10,180,0.253659,0.250371,5.77114,0.140834,1.67651,1.63587,1.41308
around,2.25,lqi,0,14,10.9765,0,0,190,0.253659,0.247083,4.74116,0.111306,1.91002,2.01182,1.70149
around,2.25,lqi,0,15,11.5844,3,3,187,0.248727,0.242151,5.4572,0.138554,1.82543,1.93123,1.7411
around,2.25,lqi,0,16,10.5119,1,1,189,0.249275,0.249823,5.03592,0.0874947,1.55766,1.87898,1.45271
around,2.25,lqi,0,17,11.3557,6,6,184,0.252563,0.256947,6.33162,0.14788,1.44308,1.6023,1.32135
around,2.25,lqi,0,18,10.9015,4,4,186,0.253659,0.246535,5.78101,0.154868,1.52666,1.58504,1.35368
around,2.25,lqi,0,19,11.0308,3,3,187,0.253659,0.244891,5.49885,0.100595,1.70099,1.78882,1.44301
around,2.25,leo,0,0,11.9345,3,3,187,0.248179,0.253659,5.62591,0.142,1.88113,2.13656,1.64704
around,2.25,leo,0,1,11.6839,6,6,184,0.251467,0.246535,6.47458,0.15718,1.39627,1.80296,1.35488
around,2.25,leo,0,2,10.1009,2,2,188,0.248727,0.248727,5.26998,0.125863,1.41088,1.55815,1.23852
around,2.25,leo,0,3,11.5197,4,5,185,0.252015,0.247083,5.77439,0.126762,1.68845,1.93079,1.50019
around,2.25,leo,0,4,11.2696,6,12,178,0.249275,0.247631,6.53718,0.14002,1.40301,1.51894,1.17352
around,2.25,leo,0,5,9.7154,0,0,190,0.252563,0.247631,4.72691,0.0801129,1.4622,1.66439,1.28159
