layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2.25,lqi,0,0,8.39065,0,0,190,0.255851,0.254207,4.82884,0.0830932,0.945052,1.1,0.923598
around,2.25,lqi,0,1,8.5039,0,0,190,0.253111,0.254207,4.81514,0.0830932,0.969962,1.15693,0.971459
around,2.25,lqi,0,2,8.35962,0,0,190,0.252563,0.252015,4.81788,0.0870282,0.947622,1.09165,0.910859
around,2.25,lqi,0,3,8.11859,0,0,190,0.255303,0.249823,4.82117,0.0795649,0.86123,1.02124,0.830252
around,2.25,lqi,0,4,8.14026,0,0,190,0.257495,0.251467,4.82172,0.0830226,0.907801,0.98769,0.831062
around,2.25,lqi,0,5,8.19966,0,0,190,0.252563,0.249823,4.82007,0.0801129,0.940057,1.00088,0.856145
around,2.25,lqi,0,6,8.33617,0,0,190,0.255303,0.252563,4.8272,0.0795649,0.95138,1.09737,0.872791
around,2.25,lqi,0,7,8.18303,0,0,190,0.252563,0.253659,4.83049,0.0904859,0.918655,1.00171,0.835474
around,2.25,lqi,0,8,8.14673,0,0,190,0.252015,0.253111,4.82775,0.0875762,0.873606,1.01561,0.837072
around,2.25,lqi,0,9,8.24035,0,0,190,0.252563,0.251467,4.82391,0.0915819,0.938657,1.02511,0.857054
around,2.25,lqi,0,10,8.36396,0,0,190,0.253111,0.254755,4.83651,0.0796356,0.972662,1.04809,0.919186
around,2.25,lqi,0,11,8.37902,0,0,190,0.253111,0.254755,4.82884,0.0796356,0.91372,1.10783,0.941129
around,2.25,lqi,0,12,8.56881,0,0,190,0.253659,0.255303,4.82117,0.088863,1.00558,1.14176,1.00248
around,2.25,lqi,0,13,8.33397,0,0,190,0.254755,0.253659,4.81898,0.0841186,0.969565,1.07514,0.877751
around,2.25,lqi,0,14,8.11601,0,0,190,0.256947,0.256399,4.82555,0.0835706,0.866744,1.0057,0.821095
around,2.25,lqi,0,15,8.14962,0,0,190,0.256399,0.254207,4.83268,0.0870282,0.869266,1.0196,0.830443
around,2.25,lqi,0,16,8.23983,0,0,190,0.256399,0.256399,4.81624,0.0875762,0.921524,1.04411,0.857577
around,2.25,lqi,0,17,8.48018,0,0,190,0.246535,0.255303,4.81953,0.0950395,0.978137,1.1427,0.942937
around,2.25,lqi,0,18,8.37618,0,0,190,0.252563,0.253111,4.82117,0.0848574,0.944603,1.06884,0.951031
around,2.25,lqi,0,19,8.41422,0,0,190,0.252015,0.256399,4.80089,0.0893404,0.94269,1.12604,0.946847
around,2.25,leo,0,0,8.39065,0,0,190,0.255851,0.254207,4.82884,0.0830932,0.945052,1.1,0.923598
around,2.25,leo,0,1,8.5039,0,0,190,0.253111,0.254207,4.81514,0.0830932,0.969962,1.15693,0.971459
around,2.25,leo,0,2,8.35962,0,0,190,0.252563,0.252015,4.81788,0.0870282,0.947622,1.09165,0.910859
around,2.25,leo,0,3,8.11859,0,0,190,0.255303,0.249823,4.82117,0.0795649,0.86123,1.02124,0.830252
around,2.25,leo,0,4,8.14026,0,0,190,0.257495,0.251467,4.82172,0.0830226,0.907801,0.98769,0.831062
around,2.25,leo,0,5,8.19966,0,0,190,0.252563,0.249823,4.82007,0.0801129,0.940057,1.00088,0.856145
around,2.25,leo,0,6,8.33617,0,0,190,0.255303,0.252563,4.8272,0.0795649,0.95138,1.09737,0.872791
around,2.25,leo,0,7,8.18303,0,0,190,0.252563,0.253659,4.83049,0.0904859,0.918655,1.00171,0.835474
around,2.25,leo,0,8,8.14673,0,0,190,0.252015,0.253111,4.82775,0.0875762,0.873606,1.01561,0.837072
around,2.25,leo,0,9,8.24035,0,0,190,0.252563,0.251467,4.82391,0.0915819,0.938657,1.02511,0.857054
around,2.25,leo,0,10,8.36396,0,0,190,0.253111,0.254755,4.83651,0.0796356,0.972662,1.04809,0.919186
around,2.25,leo,0,11,8.37902,0,0,190,0.253111,0.254755,4.82884,0.0796356,0.91372,1.10783,0.941129
around,2.25,leo,0,12,8.56881,0,0,190,0.253659,0.255303,4.82117,0.088863,1.00558,1.14176,1.00248
around,2.25,leo,0,13,8.33397,0,0,190,0.254755,0.253659,4.81898,0.0841186,0.969565,1.07514,0.877751
around,2.25,leo,0,14,8.11601,0,0,190,0.256947,0.256399,4.82555,0.0835706,0.866744,1.0057,0.821095
around,2.25,leo,0,15,8.14962,0,0,190,0.256399,0.254207,4.83268,0.0870282,0.869266,1.0196,0.830443
around,2.25,leo,0,16,8.23983,0,0,190,0.256399,0.256399,4.81624,0.0875762,0.921524,1.04411,0.857577
around,2.25,leo,0,17,8.48018,0,0,190,0.246535,0.255303,4.81953,0.0950395,0.978137,1.1427,0.942937
around,2.25,leo,0,18,8.37618,0,0,190,0.252563,0.253111,4.82117,0.0848574,0.944603,1.06884,0.951031
around,2.25,leo,0,19,8.41422,0,0,190,0.252015,0.256399,4.80089,0.0893404,0.94269,1.12604,0.946847
around,2.5,hopcount,0,0,9.45477,0,0,190,0.250919,0.250371,4.72143,0.0761073,1.44021,1.47691,1.23882
